MAG	group	depth_group	layer
s_SalMarSW160240MG_4_8867926_Bin_14_3	1	deep_1	deep
s_SalMarSW160190MG_3_8917615_Bin_50	1	deep_1	deep
s_SalMarSW160220MG_2_8858942_Bin_24_1	2	deep_2	deep
s_SalMarSW160110MG_4_8867924_Bin_55	3	deep_3	deep
s_SalMarSW160210MG_3_8917618_Bin_56	4	deep_4	deep
s_SalMarSW160200MG_2_8917694_Bin_41	5	deep_5	deep
s_SalMarWE160130MG_2_8859071_Bin_22	5	deep_5	deep
s_SalMarSW160170MG_3_8942300_Bin_31	1	deep_1	deep
s_SalMarSW160150MG_2_8917613_Bin_20_1	1	deep_1	deep
s_SalMarSW160130MG_4_8867923_Bin_4_2	1	deep_1	deep
s_SalMarSW160200MG_2_8917694_Bin_31_1	1	deep_1	deep
s_SalMarSW160230MG_3_8942301_Bin_34	1	deep_1	deep
s_SalMarSW160200MG_2_8917694_Bin_15_1	6	deep_6	deep
s_SalMarSW160130MG_4_8867923_Bin_30	7	deep_7	deep
s_SalMarSW160200MG_2_8917694_Bin_15_4	7	deep_7	deep
s_SalMarWE160240MG_3_8859104_Bin_28	8	deep_8	deep
s_SalMarWE160130MG_2_8859071_Bin_50	9	deep_9	deep
s_SalMarSW160130MG_4_8867923_Bin_42	6	deep_6	deep
s_SalMarWE160220MG_3_8859048_Bin_46	8	deep_8	deep
s_SalMarSW160210MG_3_8917618_Bin_37	10	deep_10	deep
s_SalMarWE160110MG_2_8858884_Bin_41	6	deep_6	deep
s_SalMarSW160150MG_2_8917613_Bin_25_2	6	deep_6	deep
s_SalMarWE160220MG_3_8859048_Bin_38_1	11	deep_11	deep
s_SalMarSW160130MG_4_8867923_Bin_6_2	12	deep_12	deep
s_SalMarSW160110MG_4_8867924_Bin_74	6	deep_6	deep
s_SalMarWE160210MG_3_8859159_Bin_38	11	deep_11	deep
s_SalMarWE160210MG_3_8859159_Bin_31	8	deep_8	deep
s_SalMarSW160240MG_4_8867926_Bin_52	13	deep_13	deep
s_SalMarWE160230MG_3_8858993_Bin_37	8	deep_8	deep
